product_id,store_id,date,sales,revenue,stock,price,promo_type_1,promo_bin_1,promo_type_2,promo_bin_2,promo_discount_2,promo_discount_type_2
P0005,S0001,2017-01-02,0.0,0.0,7.0,33.9,PR14,,PR03,,,
P0011,S0001,2017-01-02,0.0,0.0,10.0,49.9,PR14,,PR03,,,
P0015,S0001,2017-01-02,1.0,2.41,20.0,2.6,PR14,,PR03,,,
P0017,S0001,2017-01-02,0.0,0.0,13.0,1.49,PR14,,PR03,,,
P0018,S0001,2017-01-02,0.0,0.0,49.0,1.95,PR14,,PR03,,,
P0024,S0001,2017-01-02,0.0,0.0,23.0,1.95,PR14,,PR03,,,
P0035,S0001,2017-01-02,2.0,4.54,14.0,2.45,PR14,,PR03,,,
P0046,S0001,2017-01-02,0.0,0.0,4.0,34.5,PR14,,PR03,,,
P0051,S0001,2017-01-02,0.0,0.0,27.0,0.7,PR14,,PR03,,,
P0054,S0001,2017-01-02,0.0,0.0,6.0,3.95,PR14,,PR03,,,
P0055,S0001,2017-01-02,0.0,0.0,14.0,3.5,PR05,verylow,PR03,,,
P0057,S0001,2017-01-02,0.0,0.0,6.0,12.9,PR14,,PR03,,,
P0060,S0001,2017-01-02,0.0,0.0,1.0,15.9,PR14,,PR03,,,
P0062,S0001,2017-01-02,0.0,0.0,1.0,19.9,PR14,,PR03,,,
P0066,S0001,2017-01-02,0.0,0.0,43.0,2.5,PR14,,PR03,,,
P0067,S0001,2017-01-02,0.0,0.0,4.0,15.9,PR14,,PR03,,,
P0068,S0001,2017-01-02,0.0,0.0,6.0,5.1,PR10,verylow,PR03,,,
P0070,S0001,2017-01-02,0.0,0.0,1.0,6.25,PR14,,PR03,,,
P0071,S0001,2017-01-02,0.0,0.0,1.0,9.45,PR14,,PR03,,,
P0072,S0001,2017-01-02,0.0,0.0,13.0,3.9,PR14,,PR03,,,
P0079,S0001,2017-01-02,0.0,0.0,46.0,2.25,PR14,,PR03,,,
P0080,S0001,2017-01-02,0.0,0.0,10.0,7.9,PR06,veryhigh,PR03,,,
P0083,S0001,2017-01-02,0.0,0.0,2.0,6.9,PR05,moderate,PR03,,,
P0089,S0001,2017-01-02,0.0,0.0,2.0,5.99,PR14,,PR03,,,
P0090,S0001,2017-01-02,0.0,0.0,6.0,2.9,PR14,,PR03,,,
P0092,S0001,2017-01-02,0.0,0.0,20.0,1.55,PR14,,PR03,,,
P0099,S0001,2017-01-02,0.0,0.0,19.0,10.9,PR14,,PR03,,,
P0103,S0001,2017-01-02,13.0,31.9,52.0,2.65,PR14,,PR03,,,
P0109,S0001,2017-01-02,0.0,0.0,19.0,8.95,PR14,,PR03,,,
P0110,S0001,2017-01-02,1.0,2.73,4.0,2.95,PR14,,PR03,,,
P0114,S0001,2017-01-02,0.0,0.0,12.0,0.45,PR14,,PR03,,,
P0116,S0001,2017-01-02,0.0,0.0,1.0,0.85,PR14,,PR03,,,
P0125,S0001,2017-01-02,0.0,0.0,22.0,2.45,PR14,,PR03,,,
P0129,S0001,2017-01-02,0.0,0.0,10.0,24.95,PR14,,PR03,,,
P0131,S0001,2017-01-02,0.0,0.0,28.0,2.25,PR14,,PR03,,,
P0132,S0001,2017-01-02,0.0,0.0,2.0,7.99,PR14,,PR03,,,
P0137,S0001,2017-01-02,0.0,0.0,8.0,23.9,PR14,,PR03,,,
P0140,S0001,2017-01-02,2.0,11.0,13.0,5.5,PR14,,PR03,,,
P0144,S0001,2017-01-02,0.0,0.0,4.0,4.95,PR10,low,PR03,,,
P0147,S0001,2017-01-02,0.0,0.0,6.0,3.99,PR14,,PR03,,,
P0148,S0001,2017-01-02,4.0,21.3,5.0,5.75,PR14,,PR03,,,
P0150,S0001,2017-01-02,0.0,0.0,6.0,12.99,PR14,,PR03,,,
P0151,S0001,2017-01-02,0.0,0.0,2.0,5.9,PR14,,PR03,,,
P0157,S0001,2017-01-02,0.0,0.0,5.0,6.95,PR14,,PR03,,,
P0160,S0001,2017-01-02,0.0,0.0,12.0,2.5,PR14,,PR03,,,
P0162,S0001,2017-01-02,0.0,0.0,9.0,3.9,PR14,,PR03,,,
P0164,S0001,2017-01-02,0.0,0.0,7.0,24.9,PR14,,PR03,,,
P0165,S0001,2017-01-02,0.0,0.0,24.0,1.4,PR14,,PR03,,,
P0169,S0001,2017-01-02,1.0,4.23,9.0,4.99,PR14,,PR03,,,
P0171,S0001,2017-01-02,0.0,0.0,7.0,9.85,PR14,,PR03,,,
P0175,S0001,2017-01-02,0.0,0.0,5.0,5.5,PR05,high,PR03,,,
P0177,S0001,2017-01-02,0.0,0.0,12.0,10.9,PR14,,PR03,,,
P0183,S0001,2017-01-02,0.0,0.0,10.0,5.95,PR14,,PR03,,,
P0184,S0001,2017-01-02,0.0,0.0,12.0,47.5,PR14,,PR03,,,
P0185,S0001,2017-01-02,2.0,1.5,0.0,0.75,PR14,,PR03,,,
P0187,S0001,2017-01-02,0.0,0.0,1.0,21.0,PR14,,PR03,,,
P0195,S0001,2017-01-02,0.0,0.0,3.0,5.75,PR14,,PR03,,,
P0196,S0001,2017-01-02,0.0,0.0,60.0,7.9,PR14,,PR03,,,
P0197,S0001,2017-01-02,0.0,0.0,35.0,3.5,PR14,,PR03,,,
P0201,S0001,2017-01-02,0.0,0.0,8.0,14.9,PR14,,PR03,,,
P0204,S0001,2017-01-02,0.0,0.0,64.0,5.9,PR14,,PR03,,,
P0205,S0001,2017-01-02,0.0,0.0,11.0,13.9,PR14,,PR03,,,
P0211,S0001,2017-01-02,0.0,0.0,5.0,8.95,PR14,,PR03,,,
P0212,S0001,2017-01-02,0.0,0.0,8.0,9.95,PR05,low,PR03,,,
P0213,S0001,2017-01-02,0.0,0.0,64.0,18.9,PR14,,PR03,,,
P0218,S0001,2017-01-02,0.0,0.0,6.0,59.9,PR05,moderate,PR03,,,
P0219,S0001,2017-01-02,1.0,6.71,6.0,7.25,PR14,,PR03,,,
P0220,S0001,2017-01-02,0.0,0.0,23.0,1.75,PR14,,PR03,,,
P0223,S0001,2017-01-02,0.0,0.0,6.0,7.5,PR14,,PR03,,,
P0225,S0001,2017-01-02,0.0,0.0,16.0,2.25,PR14,,PR03,,,
P0226,S0001,2017-01-02,0.0,0.0,3.0,1.5,PR14,,PR03,,,
P0227,S0001,2017-01-02,0.0,0.0,3.0,8.0,PR14,,PR03,,,
